ResSize, Aopt, Alru, Arand, Mopt, Mlru, Mrand
1, 9204, 9204, 6377, 9999, 9999, 3756
2, 6899, 8392, 6318, 5654, 5879, 3821
3, 5485, 7573, 6313, 4247, 4440, 3869
4, 4448, 6841, 6221, 3605, 3804, 3762
5, 3620, 6077, 6025, 3242, 3477, 3609
6, 2942, 5303, 5543, 3007, 3289, 3530
7, 2391, 4571, 5173, 2835, 3178, 3391
8, 1928, 3867, 4801, 2704, 3102, 3335
9, 1548, 3177, 4376, 2589, 3048, 3247
10, 1248, 2624, 3923, 2485, 2978, 3109
11, 1013, 2123, 3567, 2389, 2925, 3137
12, 925, 1708, 3262, 2304, 2877, 3062
13, 869, 1407, 2982, 2228, 2843, 3033
14, 827, 1247, 2804, 2155, 2825, 2991
15, 789, 1124, 2549, 2088, 2796, 2955
16, 759, 1052, 2350, 2024, 2768, 2927
17, 731, 1006, 2264, 1962, 2739, 2919
18, 705, 966, 2107, 1906, 2704, 2876
19, 681, 939, 2018, 1853, 2657, 2871
20, 660, 924, 1922, 1801, 2624, 2847
21, 640, 911, 1835, 1750, 2588, 2786
22, 621, 897, 1760, 1702, 2567, 2789
23, 602, 883, 1686, 1656, 2533, 2727
24, 585, 864, 1653, 1611, 2509, 2731
25, 569, 855, 1582, 1569, 2471, 2724
26, 554, 846, 1512, 1530, 2431, 2704
27, 539, 838, 1481, 1493, 2401, 2646
28, 525, 827, 1416, 1458, 2368, 2666
29, 512, 818, 1425, 1423, 2336, 2573
30, 500, 807, 1402, 1389, 2312, 2570
31, 488, 797, 1345, 1355, 2275, 2576
32, 476, 786, 1301, 1322, 2242, 2531
33, 464, 769, 1292, 1290, 2212, 2555
34, 452, 763, 1229, 1260, 2173, 2413
35, 440, 754, 1232, 1230, 2139, 2411
36, 428, 748, 1220, 1200, 2098, 2425
37, 416, 737, 1165, 1170, 2063, 2330
38, 405, 724, 1180, 1142, 2032, 2420
39, 394, 721, 1132, 1115, 1997, 2320
40, 384, 712, 1117, 1088, 1964, 2294
41, 374, 698, 1084, 1062, 1941, 2285
42, 364, 686, 1073, 1036, 1916, 2324
43, 354, 666, 1064, 1010, 1892, 2212
44, 346, 655, 1046, 984, 1868, 2244
45, 338, 639, 1020, 958, 1843, 2207
46, 330, 630, 984, 933, 1822, 2180
47, 322, 622, 962, 909, 1801, 2205
48, 314, 612, 962, 886, 1779, 2179
49, 306, 600, 962, 863, 1749, 2100
50, 299, 591, 947, 840, 1724, 2146
51, 292, 583, 908, 817, 1688, 2099
52, 285, 578, 867, 794, 1665, 2086
53, 279, 568, 873, 771, 1636, 2105
54, 273, 554, 855, 748, 1605, 2037
55, 267, 541, 848, 726, 1586, 2004
56, 261, 535, 836, 706, 1561, 2010
57, 255, 530, 851, 686, 1530, 1944
58, 249, 513, 794, 668, 1512, 1962
59, 243, 508, 806, 650, 1494, 1954
60, 238, 495, 801, 632, 1442, 1922
61, 233, 483, 758, 615, 1417, 1891
62, 228, 475, 742, 599, 1390, 1824
63, 223, 465, 705, 583, 1359, 1857
64, 218, 451, 686, 567, 1336, 1861
65, 213, 443, 704, 551, 1315, 1753
66, 208, 422, 692, 535, 1291, 1812
67, 203, 411, 681, 520, 1252, 1702
68, 198, 398, 656, 505, 1231, 1724
69, 193, 385, 680, 490, 1199, 1745
70, 188, 374, 633, 475, 1181, 1726
71, 183, 363, 596, 460, 1168, 1728
72, 178, 353, 576, 445, 1141, 1633
73, 174, 341, 586, 430, 1113, 1602
74, 170, 330, 574, 416, 1082, 1562
75, 166, 317, 598, 402, 1037, 1538
76, 162, 307, 539, 389, 1003, 1507
77, 158, 297, 503, 376, 972, 1425
78, 154, 289, 539, 363, 944, 1456
79, 150, 276, 507, 350, 919, 1469
80, 146, 268, 486, 337, 888, 1494
81, 143, 256, 465, 324, 848, 1373
82, 140, 251, 521, 311, 806, 1355
83, 137, 245, 495, 298, 767, 1284
84, 134, 240, 465, 285, 733, 1254
85, 131, 231, 442, 273, 698, 1331
86, 128, 224, 483, 262, 654, 1296
87, 125, 212, 385, 251, 621, 1226
88, 122, 205, 473, 240, 596, 1218
89, 120, 197, 415, 230, 567, 1158
90, 118, 185, 406, 220, 533, 1048
91, 116, 176, 358, 211, 507, 1059
92, 114, 168, 362, 202, 482, 1175
93, 112, 160, 361, 193, 453, 1063
94, 110, 148, 297, 185, 424, 959
95, 108, 144, 234, 177, 384, 996
96, 106, 139, 311, 169, 352, 823
97, 104, 131, 224, 161, 328, 918
98, 102, 124, 230, 153, 303, 791
99, 101, 112, 231, 146, 278, 726
